codigo,unidade_sanitaria,tipo,tipo_de_us,nivel,classificacao,maternidade_sn,latitude,longitude,provincia,distrito
1020206,CS Ancuabe,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 1,SIM,39.8572,-12.9669,CABO DELGADO,ANCUABE
1020207,CS Mariri,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,SIM,39.59319,-13.09155,CABO DELGADO,ANCUABE
1020204,CS Marokane,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,SIM,,,CABO DELGADO,ANCUABE
1020210,CS Mesa,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,SIM,39.55228,-13.03205,CABO DELGADO,ANCUABE
1020209,CS Metoro,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 1,SIM,39.87392,-13.10483,CABO DELGADO,ANCUABE
1020211,CS Minhewene,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,SIM,39.46764,-12.994,CABO DELGADO,ANCUABE
1020214,CS Nacuale,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,SIM,39.69431,-12.96423,CABO DELGADO,ANCUABE
1020213,CS Ngewe,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,SIM,39.9492,-12.8603,CABO DELGADO,ANCUABE
1020205,CS Ngura,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,SIM,39.63952,-12.84738,CABO DELGADO,ANCUABE
1020208,CS Ntutupue,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,SIM,40.05612,-13.13993,CABO DELGADO,ANCUABE
1020306,CS Balama,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 1,SIM,39.8572,-12.9669,CABO DELGADO,BALAMA
1020307,CS Impiri,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,SIM,38.37022,-13.37759,CABO DELGADO,BALAMA
1020308,CS KueKue,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,SIM,38.4245,-13.54721,CABO DELGADO,BALAMA
1020309,CS Mavala,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,SIM,38.4805,-13.22595,CABO DELGADO,BALAMA
1020311,CS Metata,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,SIM,38.59479,-13.42856,CABO DELGADO,BALAMA
1020313,CS Muape,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,SIM,38.73256,-13.32767,CABO DELGADO,BALAMA
1020312,CS Murripa,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,SIM,38.69066,-13.46142,CABO DELGADO,BALAMA
1020310,CS Ntete,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,SIM,38.64275,-13.28727,CABO DELGADO,BALAMA
1020408,CS Bilibiza,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,SIM,39.44428,-13.67459,CABO DELGADO,CHIURE
1020409,CS Catapua,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,SIM,39.43178,-13.39746,CABO DELGADO,CHIURE
1020405,CS Chiure,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,,39.78189,-13.38267,CABO DELGADO,CHIURE
1020407,CS Chiure Velho,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 1,SIM,39.96772,-13.37291,CABO DELGADO,CHIURE
1020417,CS Marera,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,SIM,39.93473,-13.5703,CABO DELGADO,CHIURE
1020410,CS Mazeze,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,SIM,40.19369,-13.35945,CABO DELGADO,CHIURE
1020402,CS Meculane,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,SIM,,,CABO DELGADO,CHIURE
1020412,CS M'mala,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,SIM,39.91494,-13.48339,CABO DELGADO,CHIURE
1020414,CS Muege,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,SIM,40.10071,-13.32932,CABO DELGADO,CHIURE
1020415,CS Nakoto,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,SIM,39.73702,-13.34927,CABO DELGADO,CHIURE
1020413,CS Namogelia,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,SIM,39.35679,-13.74553,CABO DELGADO,CHIURE
1020411,CS Ocua,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,SIM,39.79339,-13.6464,CABO DELGADO,CHIURE
1020401,CS Papa Francisco de Marrupa,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,SIM,,,CABO DELGADO,CHIURE
1020404,CS Samora Machel,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,SIM,39.64656,-13.64996,CABO DELGADO,CHIURE
1020406,HD Chiure,HD,Hospital Distrital,Nível Secundário,HD - Hospital Distrital,SIM,39.78189,-13.38267,CABO DELGADO,CHIURE
1020416,PS Mahipa,PS,Posto de Saúde,Nível Primário,PS - Posto de Saúde,NÃO,,,CABO DELGADO,CHIURE
1020506,CS Ibo,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 1,SIM,40.58478,-12.34375,CABO DELGADO,IBO
1020507,CS Matemo,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,SIM,40.60813,-12.20336,CABO DELGADO,IBO
1020508,CS Quirimba,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,SIM,40.59757,-12.40722,CABO DELGADO,IBO
1020614,CS Chai,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 1,SIM,40.10754,-11.93135,CABO DELGADO,MACOMIA
1020612,CS Macomia,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 1,SIM,40.1258,-12.24609,CABO DELGADO,MACOMIA
1020607,CS Mucojo,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 1,SIM,40.47785,-12.06845,CABO DELGADO,MACOMIA
1020610,CS Naunde,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,SIM,40.47511,-12.16714,CABO DELGADO,MACOMIA
1020609,CS Nguida,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,SIM,39.97289,-12.13609,CABO DELGADO,MACOMIA
1020611,CS Piquewe,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,SIM,40.4838,-11.85519,CABO DELGADO,MACOMIA
1020608,CS Quaterajo,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,SIM,,,CABO DELGADO,MACOMIA
1020706,CS Mecufi,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 1,SIM,40.55563,-13.29088,CABO DELGADO,MECUFI
1020707,CS Murrebue,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,SIM,40.54838,-13.13559,CABO DELGADO,MECUFI
1020708,CS Natuco,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,SIM,40.52655,-13.41641,CABO DELGADO,MECUFI
1020705,CS Ngoma,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,SIM,40.54625,-13.23452,CABO DELGADO,MECUFI
1020811,CS Imbada,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,SIM,40.10744,-12.396,CABO DELGADO,MELUCO
1020809,CS Meluco,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 1,SIM,39.64109,-12.54067,CABO DELGADO,MELUCO
1020810,CS Minhanha,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,SIM,39.66442,-12.27754,CABO DELGADO,MELUCO
1020806,CS Muaguide,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,SIM,40.02921,-12.45903,CABO DELGADO,MELUCO
1020812,CS Raiva,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,SIM,39.38283,-12.64329,CABO DELGADO,MELUCO
1021601,CS Metuge,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 1,SIM,40.32708,-12.94848,CABO DELGADO,METUGE
1021609,CS Mieze,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,SIM,40.45367,-13.1074,CABO DELGADO,METUGE
1021607,CS Nacuta,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,SIM,40.32708,-12.94848,CABO DELGADO,METUGE
1021604,CS Naminawe,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,SIM,,,CABO DELGADO,METUGE
1021608,CS Nanlia,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,SIM,40.28654,-13.11484,CABO DELGADO,METUGE
1021600,CS Ntessa,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,SIM,40.41157,-12.89223,CABO DELGADO,METUGE
1021605,PS Penitenciario de Mieze,PS,Posto de Saúde,Nível Primário,PS - Posto de Saúde,,,,CABO DELGADO,METUGE
1020908,CS Diaca,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,SIM,39.93665,-11.53607,CABO DELGADO,MOCIMBOA DA PRAIA
1020909,CS Mangoma,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,SIM,40.22124,-11.38762,CABO DELGADO,MOCIMBOA DA PRAIA
1020902,CS Marere,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,SIM,,,CABO DELGADO,MOCIMBOA DA PRAIA
1020907,CS Mbau,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,SIM,,,CABO DELGADO,MOCIMBOA DA PRAIA
1020904,CS Milamba,CS,Centro de Saúde Urbano,Nível Primário,Centro de Saúde Urbano Tipo C,NÃO,40.36382,-11.35743,CABO DELGADO,MOCIMBOA DA PRAIA
1020903,CS Nanduadua,CS,Centro de Saúde Urbano,Nível Primário,Centro de Saúde Urbano Tipo C,NÃO,40.35159,-11.34937,CABO DELGADO,MOCIMBOA DA PRAIA
1020906,CS Quelimane,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,SIM,40.27283,-11.231,CABO DELGADO,MOCIMBOA DA PRAIA
1020901,HR Mocimboa da Praia,HR,Hospital Rural,Nível Secundário,HR - Hospital Rural,SIM,40.35863,-11.34937,CABO DELGADO,MOCIMBOA DA PRAIA
1021014,CS Mapupulo,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,SIM,38.88097,-13.22313,CABO DELGADO,MONTEPUEZ
1021008,CS Mirate,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 1,SIM,38.80127,-12.96843,CABO DELGADO,MONTEPUEZ
1021015,CS Montepuez,CS,Centro de Saúde Urbano,Nível Primário,Centro de Saúde Urbano Tipo B,NÃO,38.99889,-13.128,CABO DELGADO,MONTEPUEZ
1021010,CS Nairoto,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,SIM,39.00203,-12.5509,CABO DELGADO,MONTEPUEZ
1021005,CS Namahaca,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,NÃO,,,CABO DELGADO,MONTEPUEZ
1021011,CS Namanhumbiri,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 1,SIM,39.28717,-13.03091,CABO DELGADO,MONTEPUEZ
1021012,CS Namueto,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,SIM,39.03599,-13.13157,CABO DELGADO,MONTEPUEZ
1021002,CS Napai,CS,Centro de Saúde Urbano,Nível Primário,Centro de Saúde Urbano Tipo C,SIM,,,CABO DELGADO,MONTEPUEZ
1021016,CS Niuhula,CS,Centro de Saúde Urbano,Nível Primário,Centro de Saúde Urbano Tipo B,SIM,39.0027,-13.10929,CABO DELGADO,MONTEPUEZ
1021013,CS Nropa,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,SIM,38.75865,-13.18611,CABO DELGADO,MONTEPUEZ
1021007,CS Ntapata,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,SIM,38.80049,-13.36164,CABO DELGADO,MONTEPUEZ
1021004,CS Papa Francisco de Nikwapa,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,SIM,,,CABO DELGADO,MONTEPUEZ
1021001,HR Montepuez,HR,Hospital Rural,Nível Secundário,HR - Hospital Rural,SIM,38.9987,-13.1276,CABO DELGADO,MONTEPUEZ
1021003,PS Centro Instrução e Formação Montepuez,PS,Posto de Saúde,Nível Primário,PS - Posto de Saúde,SIM,,,CABO DELGADO,MONTEPUEZ
1021009,PS Linde,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,NÃO,38.94638,-13.31395,CABO DELGADO,MONTEPUEZ
1021102,9 Fevereiro de Nanhala,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,SIM,,,CABO DELGADO,MUEDA
1021109,CS Chapa,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,SIM,39.4168,-11.8274,CABO DELGADO,MUEDA
1021107,CS Chilinde,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,SIM,39.44212,-11.30231,CABO DELGADO,MUEDA
1021105,CS Chudi,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,SIM,39.51934,-11.7426,CABO DELGADO,MUEDA
1021103,CS Drª Isaura Ferrão Nyusi de Nonge,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,NÃO,,,CABO DELGADO,MUEDA
